what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1356526269126
started,bundle,de.walware.ecommons.coremisc,1.1.0.b201111071356sw,"de.walware.ecommons.coremisc",1356526269126
started,bundle,de.walware.ecommons.ltk.ui,1.1.0.b201111071356sw,"de.walware.ecommons.ltk.ui",1356526269126
started,bundle,de.walware.ecommons.uimisc,1.1.1.b201111071356sw,"de.walware.ecommons.uimisc",1356526269126
started,bundle,de.walware.statet.nico.core,2.0.0.b201111071356sw,"de.walware.statet.nico.core",1356526269126
started,bundle,de.walware.statet.nico.ui,2.0.1.b201111071356sw,"de.walware.statet.nico.ui",1356526269126
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1356526269126
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1356526269126
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.HEAD,"org.eclipse.equinox.weaving.aspectj",1356526269126
started,bundle,org.eclipse.equinox.weaving.caching,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching",1356526269126
started,bundle,org.eclipse.equinox.weaving.caching.j9,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching.j9",1356526269126
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1356526269126
os,sysinfo,,,"linux",1356526269322
arch,sysinfo,,,"x86_64",1356526269322
ws,sysinfo,,,"gtk",1356526269322
locale,sysinfo,,,"en_US",1356526269322
processors,sysinfo,,,"2",1356526269322
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356526269322
java.runtime.version,sysinfo,,,"1.7.0-b147",1356526269322
java.specification.name,sysinfo,,,"Java Platform API Specification",1356526269322
java.specification.vendor,sysinfo,,,"Oracle Corporation",1356526269322
java.specification.version,sysinfo,,,"1.7",1356526269322
java.vendor,sysinfo,,,"Oracle Corporation",1356526269322
java.version,sysinfo,,,"1.7.0",1356526269322
java.vm.info,sysinfo,,,"mixed mode",1356526269322
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1356526269322
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356526269322
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1356526269322
java.vm.specification.version,sysinfo,,,"1.7",1356526269322
java.vm.vendor,sysinfo,,,"Oracle Corporation",1356526269322
java.vm.version,sysinfo,,,"21.0-b17",1356526269322
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1356526269517
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1356526269548
